id,fiyat,platform,cinsiyet,ülke,yaş
1,23,android,female,GBR,33
2,40,ios,female,RUS,34
3,26,ios,male,TUR,44
4,21,android,male,DEU,32
5,42,android,female,BRA,62
6,47,ios,male,ESP,60
7,5,ios,female,USA,48
8,30,ios,male,TUR,27
9,27,ios,female,FRA,46
10,22,android,female,IND,18
11,9,ios,male,BRA,33
12,10,ios,male,FRA,44
13,43,android,female,BRA,58
14,4,android,female,DEU,50
15,20,ios,male,IND,29
16,32,android,female,FRA,55
17,5,ios,female,DEU,60
18,19,android,female,JPN,40
19,12,ios,male,FRA,51
20,38,android,male,DEU,32
21,19,ios,male,USA,44
22,21,android,female,FRA,58
23,9,android,female,ESP,38
24,6,android,male,RUS,36
25,23,android,male,DEU,54
26,22,ios,male,GBR,52
27,34,ios,male,USA,58
28,31,ios,male,TUR,56
29,50,android,male,JPN,29
30,9,android,female,ESP,29
31,23,android,female,BRA,33
32,5,ios,male,RUS,31
33,42,android,female,JPN,59
34,18,android,male,BRA,38
35,43,android,female,TUR,47
36,41,ios,female,FRA,30
37,36,ios,male,BRA,30
38,46,android,male,FRA,20
39,47,ios,female,BRA,50
40,41,ios,female,BRA,51
41,34,android,female,BRA,34
42,50,android,female,GBR,50
43,11,ios,male,IND,33
44,41,android,male,RUS,64
45,19,android,female,BRA,30
46,25,ios,female,TUR,64
47,37,ios,male,USA,42
48,19,android,male,FRA,62
49,11,ios,male,BRA,25
50,3,android,female,FRA,60
51,27,ios,female,FRA,30
52,3,ios,male,IND,32
53,33,android,female,DEU,56
54,49,android,male,JPN,26
55,46,android,female,IND,39
56,13,ios,male,IND,18
57,12,android,male,RUS,55
58,39,android,male,TUR,64
59,30,android,male,DEU,36
60,23,ios,female,GBR,54
61,49,ios,male,TUR,65
62,34,android,male,GBR,51
63,1,android,male,BRA,58
64,20,ios,female,ESP,60
65,25,android,female,IND,62
66,25,ios,male,BRA,44
67,51,ios,male,GBR,51
68,12,ios,male,FRA,39
69,42,ios,female,USA,60
70,31,ios,female,BRA,54
71,40,ios,male,USA,64
72,41,ios,female,GBR,18
73,8,android,male,TUR,51
74,5,ios,female,FRA,19
75,21,ios,male,RUS,19
76,40,android,male,BRA,20
77,41,ios,male,TUR,31
